      L    Grid       Energy    EnergyErr        Force     ForceErr Status
  1.778   0.300   -9.545e-03    4.416e-11   -1.259e-02    5.332e-10    0
  1.778   0.400   -9.432e-03    4.132e-11   -1.243e-02    4.986e-10    0
  1.778   0.500   -9.318e-03    1.374e-11   -1.226e-02    4.724e-10    0
 10.000   0.300   -9.303e-05    3.157e-15   -3.235e-05    0.000e+00    0
 10.000   0.400   -9.176e-05    8.539e-15   -3.194e-05    0.000e+00    0
 10.000   0.500   -9.072e-05    6.052e-15   -3.158e-05    0.000e+00    0
 12.589   0.300   -4.035e-05    1.004e-15   -1.211e-05    1.863e-20    0
 12.589   0.400   -3.977e-05    1.964e-15   -1.195e-05    1.863e-20    0
 12.589   0.500   -3.931e-05    8.801e-15   -1.181e-05    1.863e-20    0
 15.849   0.300   -1.634e-05    7.128e-15   -4.199e-06    0.000e+00    0
 15.849   0.400   -1.609e-05    3.099e-15   -4.141e-06    0.000e+00    0
 15.849   0.500   -1.589e-05    7.783e-15   -4.093e-06    0.000e+00    0
 17.783   0.300   -1.011e-05    5.761e-15   -2.403e-06    0.000e+00    0
 17.783   0.400   -9.975e-06    3.026e-15   -2.368e-06    0.000e+00    0
 17.783   0.500   -9.850e-06    7.957e-15   -2.341e-06    0.000e+00    0
 19.953   0.300   -6.173e-06    2.793e-15   -1.349e-06    0.000e+00    0
 19.953   0.400   -6.086e-06    2.575e-15   -1.330e-06    0.000e+00    0
 19.953   0.500   -6.002e-06    7.419e-15   -1.314e-06    0.000e+00    0
  1.000   0.300   -3.603e-02    3.727e-09   -8.127e-02    1.313e-08    0
  1.000   0.400   -3.547e-02    4.088e-09   -7.959e-02    1.157e-08    0
  1.000   0.500   -3.489e-02    2.419e-09   -7.784e-02    1.041e-08    0
 25.119   0.300   -2.231e-06    2.793e-15   -4.035e-07    0.000e+00    0
 25.119   0.400   -2.160e-06    2.575e-15   -3.974e-07    0.000e+00    0
 25.119   0.500   -2.133e-06    7.419e-15   -3.926e-07    0.000e+00    0
  3.162   0.300   -2.442e-03    1.145e-13   -1.859e-03    9.088e-13    0
  3.162   0.400   -2.414e-03    1.132e-13   -1.839e-03    8.715e-13    0
  3.162   0.500   -2.388e-03    1.115e-13   -1.818e-03    8.346e-13    0
 31.623   0.300   -7.516e-07    5.601e-15   -1.130e-07    0.000e+00    0
 31.623   0.400   -7.212e-07    2.677e-15   -1.112e-07    0.000e+00    0
 31.623   0.500   -7.170e-07    9.892e-15   -1.099e-07    0.000e+00    0
  5.623   0.300   -5.597e-04    7.041e-15   -2.772e-04    6.993e-18    0
  5.623   0.400   -5.529e-04    8.481e-15   -2.740e-04    6.776e-18    0
  5.623   0.500   -5.468e-04    1.209e-14   -2.710e-04    6.559e-18    0
